time,wavelength,flux,flux_err
59045.04000,2.4,1.027884,0.0100
59045.04000,2.5,1.024522,0.0100
59045.04000,2.6,1.013182,0.0100
59045.04000,2.7,1.036297,0.0100
59045.04000,2.8,1.032388,0.0100
59045.04000,2.9,1.032779,0.0100
59045.04000,3.0,1.015775,0.0100
59045.04000,3.1,1.038897,0.0100
59045.04000,3.2,1.010850,0.0100
59045.04000,3.3,1.030738,0.0100
59045.04000,3.4,1.046774,0.0100
59045.04000,3.5,1.014964,0.0100
59045.04000,3.6,1.019206,0.0100
59045.04000,3.7,1.025866,0.0100
59045.04000,3.8,1.019834,0.0100
59045.04000,3.9,1.009362,0.0100
59045.04000,4.0,1.025555,0.0100
59045.04000,4.1,1.014246,0.0100
59045.04000,4.2,1.029605,0.0100
59045.04000,4.3,1.015675,0.0100
59045.04000,4.4,1.040368,0.0100
59045.04000,4.5,1.017036,0.0100
59045.04000,4.6,1.021648,0.0100
59045.04000,4.7,1.033004,0.0100
59045.04000,4.8,1.012560,0.0100
59045.04000,4.9,1.027144,0.0100
59045.04000,5.0,1.037940,0.0100
59045.04000,5.1,1.008794,0.0100
59045.04000,5.2,1.026715,0.0100
59045.04000,5.3,1.027468,0.0100
59045.04000,5.4,1.032687,0.0100
59045.04000,5.5,1.012499,0.0100
59045.04000,5.6,1.011664,0.0100
59045.04000,5.7,1.030088,0.0100
59045.04000,5.8,1.027839,0.0100
59045.04000,5.9,1.027374,0.0100
59045.04000,6.0,1.028333,0.0100
59045.04000,6.1,1.018069,0.0100
59045.04000,6.2,1.027192,0.0100
59045.04000,6.3,1.027800,0.0100
59045.04000,6.4,1.017725,0.0100
59045.04000,6.5,1.043527,0.0100
59045.04000,6.6,1.029607,0.0100
59045.04000,6.7,1.012956,0.0100
59045.04000,6.8,1.031435,0.0100
59045.04000,6.9,1.015122,0.0100
59045.04000,7.0,1.032740,0.0100
59045.04000,7.1,1.036455,0.0100
59045.04000,7.2,1.016662,0.0100
59045.04000,7.3,1.034503,0.0100
59045.04000,7.4,1.028997,0.0100
59045.04000,7.5,1.033090,0.0100
59045.04000,7.6,1.043837,0.0100
59045.04000,7.7,1.022415,0.0100
59045.04000,7.8,1.017332,0.0100
59045.04000,7.9,1.015974,0.0100
59045.04000,8.0,1.016711,0.0100
59045.04000,8.1,1.024098,0.0100
59045.04000,8.2,1.028281,0.0100
59045.04000,8.3,1.027636,0.0100
59045.04000,8.4,1.033141,0.0100
59045.04000,8.5,1.024999,0.0100
59045.04000,8.6,1.039404,0.0100
59045.04000,8.7,1.022222,0.0100
59045.04000,8.8,1.052071,0.0100
59045.04000,8.9,1.031126,0.0100
59045.04000,9.0,1.016297,0.0100
59045.04000,9.1,1.014160,0.0100
59045.04000,9.2,1.029694,0.0100
59045.04000,9.3,1.022634,0.0100
59045.04000,9.4,1.032009,0.0100
59045.04000,9.5,1.029601,0.0100
59045.04000,9.6,1.024141,0.0100
59045.04000,9.7,1.016401,0.0100
59045.04000,9.8,1.009721,0.0100
59045.04000,9.9,1.020404,0.0100
59045.04000,10.0,1.033433,0.0100
59045.08000,0.5,1.050316,0.0100
59045.08000,0.6,1.035718,0.0100
59045.08000,0.7,1.049907,0.0100
59045.08000,0.8,1.052029,0.0100
59045.08000,0.9,1.039337,0.0100
59045.08000,1.0,1.049713,0.0100
59045.08000,1.1,1.048757,0.0100
59045.08000,1.2,1.036746,0.0100
59045.08000,1.3,1.051753,0.0100
59045.08000,1.4,1.053783,0.0100
59045.08000,1.5,1.059006,0.0100
59045.08000,1.6,1.058713,0.0100
59045.08000,1.7,1.034399,0.0100
59045.08000,1.8,1.038797,0.0100
59045.08000,1.9,1.053326,0.0100
59045.08000,2.0,1.053313,0.0100
59045.08000,2.1,1.053326,0.0100
59045.08000,2.2,1.086703,0.0100
59045.08000,2.3,1.053884,0.0100
59045.08000,2.4,1.059531,0.0100
59045.08000,2.5,1.057715,0.0100
59045.08000,2.6,1.054689,0.0100
59045.08000,2.7,1.045023,0.0100
59045.08000,2.8,1.055765,0.0100
59045.08000,2.9,1.040447,0.0100
59045.08000,3.0,1.045807,0.0100
59045.08000,3.1,1.043322,0.0100
59045.08000,3.2,1.048994,0.0100
59045.08000,3.3,1.071322,0.0100
59045.08000,3.4,1.029503,0.0100
59045.08000,3.5,1.055038,0.0100
59045.08000,3.6,1.032048,0.0100
59045.08000,3.7,1.043456,0.0100
59045.08000,3.8,1.059065,0.0100
59045.08000,3.9,1.048818,0.0100
59045.08000,4.0,1.037398,0.0100
59045.08000,4.1,1.041022,0.0100
59045.08000,4.2,1.054971,0.0100
59045.08000,4.3,1.040872,0.0100
59045.08000,4.4,1.050340,0.0100
59045.08000,4.5,1.048631,0.0100
59045.08000,4.6,1.041659,0.0100
59045.08000,4.7,1.069615,0.0100
59045.08000,4.8,1.054515,0.0100
59045.08000,4.9,1.027924,0.0100
59045.08000,5.0,1.050040,0.0100
59045.08000,5.1,1.041558,0.0100
59045.08000,5.2,1.056700,0.0100
59045.08000,5.3,1.040250,0.0100
59045.08000,5.4,1.047028,0.0100
59045.08000,5.5,1.053225,0.0100
59045.08000,5.6,1.056833,0.0100
59045.08000,5.7,1.036172,0.0100
59045.08000,5.8,1.044830,0.0100
59045.08000,5.9,1.043426,0.0100
59045.08000,6.0,1.041642,0.0100
59045.08000,6.1,1.065830,0.0100
59045.08000,6.2,1.052225,0.0100
59045.08000,6.3,1.035567,0.0100
59045.08000,6.4,1.057354,0.0100
59045.08000,6.5,1.069397,0.0100
59045.08000,6.6,1.058500,0.0100
59045.08000,6.7,1.032982,0.0100
59045.08000,6.8,1.043333,0.0100
59045.08000,6.9,1.060844,0.0100
59045.08000,7.0,1.041099,0.0100
59045.08000,7.1,1.052614,0.0100
59045.08000,7.2,1.055922,0.0100
59045.08000,7.3,1.038906,0.0100
59045.08000,7.4,1.047580,0.0100
59045.08000,7.5,1.015763,0.0100
59045.08000,7.6,1.037931,0.0100
59045.08000,7.7,1.045650,0.0100
59045.08000,7.8,1.035698,0.0100
59045.08000,7.9,1.064499,0.0100
59045.08000,8.0,1.033874,0.0100
59045.08000,8.1,1.043775,0.0100
59045.08000,8.2,1.049483,0.0100
59045.08000,8.3,1.062588,0.0100
59045.08000,8.4,1.033817,0.0100
59045.08000,8.5,1.059807,0.0100
59045.08000,8.6,1.048278,0.0100
59045.08000,8.7,1.038360,0.0100
59045.08000,8.8,1.052796,0.0100
59045.08000,8.9,1.050166,0.0100
59045.08000,9.0,1.042173,0.0100
59045.08000,9.1,1.048873,0.0100
59045.08000,9.2,1.044322,0.0100
59045.08000,9.3,1.049311,0.0100
59045.08000,9.4,1.054797,0.0100
59045.08000,9.5,1.064036,0.0100
59045.08000,9.6,1.035797,0.0100
59045.08000,9.7,1.069506,0.0100
59045.08000,9.8,1.028654,0.0100
59045.08000,9.9,1.046658,0.0100
59045.08000,10.0,1.054059,0.0100
59045.12000,0.5,1.071265,0.0100
59045.12000,0.6,1.062228,0.0100
59045.12000,0.7,1.066373,0.0100
59045.12000,0.8,1.063525,0.0100
59045.12000,0.9,1.062561,0.0100
59045.12000,1.0,1.076951,0.0100
59045.12000,1.1,1.072025,0.0100
59045.12000,1.2,1.061526,0.0100
59045.12000,1.3,1.077451,0.0100
59045.12000,1.4,1.071528,0.0100
59045.12000,1.5,1.076583,0.0100
59045.12000,1.6,1.074751,0.0100
59045.12000,1.7,1.060165,0.0100
59045.12000,1.8,1.062853,0.0100
59045.12000,1.9,1.075928,0.0100
59045.12000,2.0,1.074558,0.0100
59045.12000,2.1,1.068246,0.0100
59045.12000,2.2,1.069628,0.0100
59045.12000,2.3,1.081231,0.0100
59045.12000,2.4,1.062539,0.0100
59045.12000,2.5,1.073926,0.0100
59045.12000,2.6,1.066433,0.0100
59045.12000,2.7,1.066278,0.0100
59045.12000,2.8,1.079442,0.0100
59045.12000,2.9,1.076709,0.0100
59045.12000,3.0,1.076590,0.0100
59045.12000,3.1,1.081509,0.0100
59045.12000,3.2,1.068665,0.0100
59045.12000,3.3,1.075274,0.0100
59045.12000,3.4,1.065352,0.0100
59045.12000,3.5,1.071696,0.0100
59045.12000,3.6,1.067153,0.0100
59045.12000,3.7,1.069425,0.0100
59045.12000,3.8,1.074406,0.0100
59045.12000,3.9,1.060273,0.0100
59045.12000,4.0,1.089379,0.0100
59045.12000,4.1,1.058395,0.0100
59045.12000,4.2,1.056313,0.0100
59045.12000,4.3,1.080036,0.0100
59045.12000,4.4,1.076371,0.0100
59045.12000,4.5,1.074696,0.0100
59045.12000,4.6,1.074738,0.0100
59045.12000,4.7,1.068332,0.0100
59045.12000,4.8,1.059482,0.0100
59045.12000,4.9,1.069213,0.0100
59045.12000,5.0,1.061683,0.0100
59045.12000,5.1,1.078206,0.0100
59045.12000,5.2,1.066984,0.0100
59045.12000,5.3,1.060200,0.0100
59045.12000,5.4,1.065241,0.0100
59045.12000,5.5,1.072584,0.0100
59045.12000,5.6,1.062817,0.0100
59045.12000,5.7,1.060233,0.0100
59045.12000,5.8,1.070892,0.0100
59045.12000,5.9,1.070904,0.0100
59045.12000,6.0,1.063385,0.0100
59045.12000,6.1,1.063744,0.0100
59045.12000,6.2,1.070775,0.0100
59045.12000,6.3,1.053974,0.0100
59045.12000,6.4,1.054380,0.0100
59045.12000,6.5,1.061270,0.0100
59045.12000,6.6,1.066320,0.0100
59045.12000,6.7,1.071564,0.0100
59045.12000,6.8,1.083208,0.0100
59045.12000,6.9,1.077031,0.0100
59045.12000,7.0,1.066855,0.0100
59045.12000,7.1,1.068265,0.0100
59045.12000,7.2,1.058429,0.0100
59045.12000,7.3,1.068270,0.0100
59045.12000,7.4,1.065568,0.0100
59045.12000,7.5,1.071682,0.0100
59045.12000,7.6,1.060182,0.0100
59045.12000,7.7,1.073648,0.0100
59045.12000,7.8,1.083782,0.0100
59045.12000,7.9,1.067367,0.0100
59045.12000,8.0,1.072472,0.0100
59045.12000,8.1,1.075356,0.0100
59045.12000,8.2,1.064443,0.0100
59045.12000,8.3,1.070696,0.0100
59045.12000,8.4,1.068581,0.0100
59045.12000,8.5,1.069431,0.0100
59045.12000,8.6,1.060725,0.0100
59045.12000,8.7,1.068700,0.0100
59045.12000,8.8,1.073435,0.0100
59045.12000,8.9,1.082966,0.0100
59045.12000,9.0,1.078047,0.0100
59045.12000,9.1,1.089987,0.0100
59045.12000,9.2,1.060781,0.0100
59045.12000,9.3,1.077178,0.0100
59045.12000,9.4,1.070288,0.0100
59045.12000,9.5,1.090353,0.0100
59045.12000,9.6,1.060372,0.0100
59045.12000,9.7,1.060057,0.0100
59045.12000,9.8,1.062461,0.0100
59045.12000,9.9,1.047216,0.0100
59045.12000,10.0,1.063197,0.0100
59045.16000,0.5,1.076841,0.0100
59045.16000,0.6,1.085937,0.0100
59045.16000,0.7,1.087850,0.0100
59045.16000,0.8,1.103195,0.0100
59045.16000,0.9,1.093937,0.0100
59045.16000,1.0,1.078664,0.0100
59045.16000,1.1,1.075449,0.0100
59045.16000,1.2,1.089352,0.0100
59045.16000,1.3,1.071230,0.0100
59045.16000,1.4,1.102747,0.0100
59045.16000,1.5,1.096227,0.0100
59045.16000,1.6,1.079741,0.0100
59045.16000,1.7,1.067301,0.0100
59045.16000,1.8,1.097972,0.0100
59045.16000,1.9,1.083287,0.0100
59045.16000,2.0,1.096811,0.0100
59045.16000,2.1,1.068489,0.0100
59045.16000,2.2,1.078439,0.0100
59045.16000,2.3,1.084485,0.0100
59045.16000,2.4,1.084903,0.0100
59045.16000,2.5,1.079932,0.0100
59045.16000,2.6,1.090661,0.0100
59045.16000,2.7,1.073757,0.0100
59045.16000,2.8,1.083009,0.0100
59045.16000,2.9,1.085636,0.0100
59045.16000,3.0,1.089577,0.0100
59045.16000,3.1,1.091549,0.0100
59045.16000,3.2,1.073186,0.0100
59045.16000,3.3,1.069092,0.0100
59045.16000,3.4,1.097210,0.0100
59045.16000,3.5,1.087756,0.0100
59045.16000,3.6,1.076948,0.0100
59045.16000,3.7,1.099944,0.0100
59045.16000,3.8,1.085590,0.0100
59045.16000,3.9,1.096226,0.0100
59045.16000,4.0,1.085108,0.0100
59045.16000,4.1,1.105040,0.0100
59045.16000,4.2,1.101986,0.0100
59045.16000,4.3,1.081943,0.0100
59045.16000,4.4,1.094149,0.0100
59045.16000,4.5,1.090887,0.0100
59045.16000,4.6,1.098119,0.0100
59045.16000,4.7,1.074784,0.0100
59045.16000,4.8,1.091293,0.0100
59045.16000,4.9,1.095017,0.0100
59045.16000,5.0,1.066845,0.0100
59045.16000,5.1,1.072600,0.0100
59045.16000,5.2,1.064040,0.0100
59045.16000,5.3,1.081739,0.0100
59045.16000,5.4,1.091608,0.0100
59045.16000,5.5,1.099456,0.0100
59045.16000,5.6,1.085174,0.0100
59045.16000,5.7,1.100719,0.0100
59045.16000,5.8,1.070632,0.0100
59045.16000,5.9,1.067399,0.0100
59045.16000,6.0,1.083877,0.0100
59045.16000,6.1,1.088273,0.0100
59045.16000,6.2,1.084106,0.0100
59045.16000,6.3,1.063758,0.0100
59045.16000,6.4,1.083542,0.0100
59045.16000,6.5,1.071388,0.0100
59045.16000,6.6,1.091130,0.0100
59045.16000,6.7,1.088099,0.0100
59045.16000,6.8,1.075034,0.0100
59045.16000,6.9,1.079294,0.0100
59045.16000,7.0,1.073841,0.0100
59045.16000,7.1,1.083806,0.0100
59045.16000,7.2,1.093984,0.0100
59045.16000,7.3,1.074576,0.0100
59045.16000,7.4,1.089473,0.0100
59045.16000,7.5,1.079130,0.0100
59045.16000,7.6,1.076504,0.0100
59045.16000,7.7,1.083362,0.0100
59045.16000,7.8,1.074080,0.0100
59045.16000,7.9,1.078896,0.0100
59045.16000,8.0,1.072454,0.0100
59045.16000,8.1,1.104080,0.0100
59045.16000,8.2,1.084785,0.0100
59045.16000,8.3,1.077436,0.0100
59045.16000,8.4,1.086573,0.0100
59045.16000,8.5,1.083310,0.0100
59045.16000,8.6,1.082223,0.0100
59045.16000,8.7,1.090574,0.0100
59045.16000,8.8,1.092008,0.0100
59045.16000,8.9,1.079128,0.0100
59045.16000,9.0,1.078675,0.0100
59045.16000,9.1,1.081682,0.0100
59045.16000,9.2,1.061414,0.0100
59045.16000,9.3,1.069281,0.0100
59045.16000,9.4,1.098102,0.0100
59045.16000,9.5,1.100882,0.0100
59045.16000,9.6,1.081942,0.0100
59045.16000,9.7,1.090198,0.0100
59045.16000,9.8,1.087545,0.0100
59045.16000,9.9,1.115222,0.0100
59045.16000,10.0,1.095629,0.0100
59045.20000,0.5,1.093826,0.0100
59045.20000,0.6,1.085550,0.0100
59045.20000,0.7,1.079041,0.0100
59045.20000,0.8,1.097140,0.0100
59045.20000,0.9,1.087542,0.0100
59045.20000,1.0,1.080883,0.0100
59045.20000,1.1,1.088640,0.0100
59045.20000,1.2,1.084290,0.0100
59045.20000,1.3,1.111977,0.0100
59045.20000,1.4,1.103922,0.0100
59045.20000,1.5,1.095026,0.0100
59045.20000,1.6,1.109905,0.0100
59045.20000,1.7,1.095879,0.0100
59045.20000,1.8,1.086493,0.0100
59045.20000,1.9,1.110337,0.0100
59045.20000,2.0,1.100495,0.0100
59045.20000,2.1,1.084733,0.0100
59045.20000,2.2,1.093202,0.0100
59045.20000,2.3,1.086349,0.0100
59045.20000,2.4,1.081278,0.0100
59045.20000,2.5,1.104367,0.0100
59045.20000,2.6,1.114200,0.0100
59045.20000,2.7,1.081120,0.0100
59045.20000,2.8,1.100735,0.0100
59045.20000,2.9,1.088599,0.0100
59045.20000,3.0,1.090234,0.0100
59045.20000,3.1,1.089182,0.0100
59045.20000,3.2,1.086466,0.0100
59045.20000,3.3,1.095591,0.0100
59045.20000,3.4,1.086796,0.0100
59045.20000,3.5,1.097810,0.0100
59045.20000,3.6,1.094603,0.0100
59045.20000,3.7,1.092716,0.0100
59045.20000,3.8,1.086030,0.0100
59045.20000,3.9,1.089338,0.0100
59045.20000,4.0,1.102660,0.0100
59045.20000,4.1,1.100115,0.0100
59045.20000,4.2,1.085330,0.0100
59045.20000,4.3,1.096099,0.0100
59045.20000,4.4,1.102620,0.0100
59045.20000,4.5,1.078412,0.0100
59045.20000,4.6,1.100539,0.0100
59045.20000,4.7,1.088479,0.0100
59045.20000,4.8,1.100812,0.0100
59045.20000,4.9,1.087473,0.0100
59045.20000,5.0,1.077057,0.0100
59045.20000,5.1,1.078830,0.0100
59045.20000,5.2,1.095587,0.0100
59045.20000,5.3,1.097703,0.0100
59045.20000,5.4,1.086062,0.0100
59045.20000,5.5,1.101492,0.0100
59045.20000,5.6,1.078490,0.0100
59045.20000,5.7,1.094445,0.0100
59045.20000,5.8,1.082995,0.0100
59045.20000,5.9,1.088587,0.0100
59045.20000,6.0,1.095580,0.0100
59045.20000,6.1,1.086502,0.0100
59045.20000,6.2,1.091260,0.0100
59045.20000,6.3,1.105169,0.0100
59045.20000,6.4,1.089337,0.0100
59045.20000,6.5,1.103463,0.0100
59045.20000,6.6,1.083809,0.0100
59045.20000,6.7,1.100404,0.0100
59045.20000,6.8,1.109521,0.0100
59045.20000,6.9,1.070389,0.0100
59045.20000,7.0,1.087137,0.0100
59045.20000,7.1,1.100876,0.0100
59045.20000,7.2,1.093075,0.0100
59045.20000,7.3,1.098817,0.0100
59045.20000,7.4,1.089066,0.0100
59045.20000,7.5,1.095972,0.0100
59045.20000,7.6,1.093549,0.0100
59045.20000,7.7,1.106783,0.0100
59045.20000,7.8,1.097650,0.0100
59045.20000,7.9,1.098482,0.0100
59045.20000,8.0,1.090987,0.0100
59045.20000,8.1,1.090230,0.0100
59045.20000,8.2,1.090780,0.0100
59045.20000,8.3,1.099050,0.0100
59045.20000,8.4,1.090896,0.0100
59045.20000,8.5,1.098003,0.0100
59045.20000,8.6,1.115860,0.0100
59045.20000,8.7,1.103817,0.0100
59045.20000,8.8,1.091845,0.0100
59045.20000,8.9,1.107118,0.0100
59045.20000,9.0,1.091025,0.0100
59045.20000,9.1,1.074724,0.0100
59045.20000,9.2,1.085025,0.0100
59045.20000,9.3,1.076398,0.0100
59045.20000,9.4,1.091591,0.0100
59045.20000,9.5,1.095290,0.0100
59045.20000,9.6,1.111870,0.0100
59045.20000,9.7,1.098375,0.0100
59045.20000,9.8,1.092915,0.0100
59045.20000,9.9,1.103400,0.0100
59045.20000,10.0,1.072994,0.0100
59045.24000,0.5,1.102159,0.0100
59045.24000,0.6,1.107511,0.0100
59045.24000,0.7,1.085017,0.0100
59045.24000,0.8,1.111240,0.0100
59045.24000,0.9,1.103188,0.0100
59045.24000,1.0,1.095650,0.0100
59045.24000,1.1,1.106130,0.0100
59045.24000,1.2,1.122510,0.0100
59045.24000,1.3,1.101621,0.0100
59045.24000,1.4,1.102285,0.0100
59045.24000,1.5,1.095209,0.0100
59045.24000,1.6,1.091304,0.0100
59045.24000,1.7,1.108106,0.0100
59045.24000,1.8,1.091242,0.0100
59045.24000,1.9,1.100518,0.0100
59045.24000,2.0,1.095026,0.0100
59045.24000,2.1,1.104592,0.0100
59045.24000,2.2,1.103139,0.0100
59045.24000,2.3,1.110178,0.0100
59045.24000,2.4,1.094703,0.0100
59045.24000,2.5,1.097104,0.0100
59045.24000,2.6,1.090015,0.0100
59045.24000,2.7,1.095360,0.0100
59045.24000,2.8,1.103576,0.0100
59045.24000,2.9,1.107373,0.0100
59045.24000,3.0,1.090581,0.0100
59045.24000,3.1,1.108499,0.0100
59045.24000,3.2,1.113359,0.0100
59045.24000,3.3,1.103937,0.0100
59045.24000,3.4,1.118571,0.0100
59045.24000,3.5,1.092065,0.0100
59045.24000,3.6,1.087356,0.0100
59045.24000,3.7,1.082015,0.0100
59045.24000,3.8,1.114763,0.0100
59045.24000,3.9,1.106346,0.0100
59045.24000,4.0,1.099247,0.0100
59045.24000,4.1,1.102602,0.0100
59045.24000,4.2,1.088548,0.0100
59045.24000,4.3,1.124260,0.0100
59045.24000,4.4,1.101095,0.0100
59045.24000,4.5,1.100897,0.0100
59045.24000,4.6,1.107060,0.0100
59045.24000,4.7,1.104613,0.0100
59045.24000,4.8,1.102042,0.0100
59045.24000,4.9,1.091898,0.0100
59045.24000,5.0,1.104517,0.0100
59045.24000,5.1,1.118623,0.0100
59045.24000,5.2,1.113257,0.0100
59045.24000,5.3,1.115735,0.0100
59045.24000,5.4,1.094691,0.0100
59045.24000,5.5,1.089907,0.0100
59045.24000,5.6,1.098545,0.0100
59045.24000,5.7,1.100360,0.0100
59045.24000,5.8,1.110745,0.0100
59045.24000,5.9,1.082878,0.0100
59045.24000,6.0,1.115098,0.0100
59045.24000,6.1,1.098223,0.0100
59045.24000,6.2,1.095534,0.0100
59045.24000,6.3,1.089682,0.0100
59045.24000,6.4,1.083254,0.0100
59045.24000,6.5,1.108034,0.0100
59045.24000,6.6,1.100536,0.0100
59045.24000,6.7,1.086903,0.0100
59045.24000,6.8,1.086852,0.0100
59045.24000,6.9,1.096445,0.0100
59045.24000,7.0,1.116493,0.0100
59045.24000,7.1,1.097207,0.0100
59045.24000,7.2,1.084771,0.0100
59045.24000,7.3,1.097345,0.0100
59045.24000,7.4,1.097075,0.0100
59045.24000,7.5,1.072834,0.0100
59045.24000,7.6,1.099260,0.0100
59045.24000,7.7,1.097493,0.0100
59045.24000,7.8,1.106765,0.0100
59045.24000,7.9,1.118292,0.0100
59045.24000,8.0,1.111068,0.0100
59045.24000,8.1,1.097114,0.0100
59045.24000,8.2,1.088737,0.0100
59045.24000,8.3,1.125536,0.0100
59045.24000,8.4,1.100395,0.0100
59045.24000,8.5,1.099942,0.0100
59045.24000,8.6,1.099561,0.0100
59045.24000,8.7,1.101784,0.0100
59045.24000,8.8,1.098359,0.0100
59045.24000,8.9,1.094066,0.0100
59045.24000,9.0,1.094334,0.0100
59045.24000,9.1,1.099475,0.0100
59045.24000,9.2,1.094368,0.0100
59045.24000,9.3,1.092674,0.0100
59045.24000,9.4,1.100867,0.0100
59045.24000,9.5,1.097253,0.0100
59045.24000,9.6,1.114843,0.0100
59045.24000,9.7,1.073293,0.0100
59045.24000,9.8,1.110718,0.0100
59045.24000,9.9,1.112264,0.0100
59045.24000,10.0,1.079069,0.0100
59045.28000,0.5,1.094802,0.0100
59045.28000,0.6,1.094514,0.0100
59045.28000,0.7,1.084154,0.0100
59045.28000,0.8,1.090451,0.0100
59045.28000,0.9,1.087123,0.0100
59045.28000,1.0,1.115751,0.0100
59045.28000,1.1,1.107586,0.0100
59045.28000,1.2,1.110944,0.0100
59045.28000,1.3,1.105445,0.0100
59045.28000,1.4,1.086938,0.0100
59045.28000,1.5,1.092984,0.0100
59045.28000,1.6,1.103122,0.0100
59045.28000,1.7,1.086007,0.0100
59045.28000,1.8,1.105359,0.0100
59045.28000,1.9,1.095825,0.0100
59045.28000,2.0,1.094481,0.0100
59045.28000,2.1,1.105338,0.0100
59045.28000,2.2,1.102671,0.0100
59045.28000,2.3,1.094619,0.0100
59045.28000,2.4,1.109822,0.0100
59045.28000,2.5,1.087418,0.0100
59045.28000,2.6,1.104388,0.0100
59045.28000,2.7,1.104160,0.0100
59045.28000,2.8,1.095133,0.0100
59045.28000,2.9,1.101490,0.0100
59045.28000,3.0,1.085718,0.0100
